M(GeV)	Sigma(pp>Btj)(fb)	Sigma(pp>Ttj)(fb)
600	181.02516439909292	150.68377965898162
700	93.28753169111019	70.7359743768163
800	50.92622793733293	36.43525156980557
900	29.312210760222598	20.10398818964969
1000	17.423706831849685	11.629929539275905
1100	10.703208945492294	6.927061847226811
1200	6.740954938141307	4.305258185866052
1300	4.332586610291881	2.7543645276007265
1400	2.853417932711066	1.7981373404849479
1500	1.912936253613184	1.199363826137062
1600	1.2879042078870386	0.8065076746121217
1700	0.8854082575730329	0.5533032169340544
1800	0.6090779824143824	0.3824564382175425
1900	0.42506914625734776	0.2686362429546768
2000	0.30135296100353764	0.18966108018121638
