M(GeV)	GamTot(GeV)	BR(Zt)	BR(ht)	BR(Wb)
600	15.070601786400907	0.42074570534401334	0.1780069588238297	0.40124733583215705
700	16.79233154061794	0.38797533361740044	0.19256338733247827	0.4194612790501212
800	18.60109210459958	0.3652461358469849	0.20254638128478664	0.43220748286822847
900	20.46135799488077	0.34869289862217073	0.20974887172066325	0.44155822965716596
1000	22.354276540673066	0.3361611915053451	0.21515563490873005	0.44868317358592485
1100	24.269065394129793	0.3263748740817494	0.21934498820455714	0.4542801377136935
1200	26.199161202021923	0.31853723455003213	0.22267570313843116	0.45878706231153676
1300	28.140359553192692	0.3121282447842263	0.22538069804025823	0.4624910571755155
1400	30.089851400809653	0.3067954609889707	0.22761705077560032	0.4655874882354289
1500	32.045692910834134	0.30229225177888125	0.2294941617357258	0.468213586485393
1600	34.00649848035192	0.29844123087785107	0.23109035511965173	0.47046841400249706
1700	35.97125507163015	0.2951117537749221	0.23246305823948532	0.47242518798559263
1800	37.939205644212535	0.2922055916534827	0.23365526030699232	0.47413914803952506
1900	39.90977356355641	0.2896475355378987	0.23469973501397837	0.47565272944812304
2000	41.88251217823869	0.2873790698415656	0.23562187487366373	0.4769990552847707
