M(GeV)	Sigma(pp>Tbj)(fb)	Sigma(pp>Ttj)(fb)
600	1547.2528202413034	150.68377965898162
700	728.7697106607534	70.7359743768163
800	369.502330522754	36.43525156980557
900	205.48766306135428	20.10398818964969
1000	119.2148362179189	11.629929539275905
1100	68.15722677554055	6.927061847226811
1200	41.63281603304883	4.305258185866052
1300	25.85110010807489	2.7543645276007265
1400	16.80311541618294	1.7981373404849479
1500	11.05492905770792	1.199363826137062
1600	7.26082778938164	0.8065076746121217
1700	4.848664267661847	0.5533032169340544
1800	3.270974350003165	0.3824564382175425
1900	2.2940239639285434	0.2686362429546768
2000	1.5524243445636787	0.18966108018121638
