M(GeV)	Sigma(pp>TWt_t)(fb)	GamWt(GeV)	
600	181.02516439909292	6.469522108083098
700	93.28753169111019	7.428042946687762
800	50.92622793733293	8.38757917619562
900	29.312210760222598	9.351098939026162
1000	17.423706831849685	10.31883218075458
1100	10.703208945492294	11.29031687566304
1200	6.740954938141307	12.264975609814565
1300	4.332586610291881	13.242277889336854
1400	2.853417932711066	14.221776593740882
1500	1.912936253613184	15.203106126695696
1600	1.2879042078870386	16.185970409043502
1700	0.8854082575730329	17.17012980155204
1800	0.6090779824143824	18.155389641003126
1900	0.42506914625734776	19.141590907194615
2000	0.30135296100353764	20.12860284847214
