M(GeV)	Sigma_quad(pp>TWb_b)(fb)	Gamma_quad(GeV)
600	1547.2528202413034	6.04703881618071
700	728.7697106607534	7.043732866261294
800	369.502330522754	8.039531197129064
900	205.48766306135428	9.034881012601053
1000	119.2148362179189	10.02998774148658
1100	68.15722677554055	11.024954369427917
1200	41.63281603304883	12.01983620290203
1300	25.85110010807489	13.014664639055205
1400	16.80311541618294	14.00945833508027
1500	11.05492905770792	15.004228809191183
1600	7.26082778938164	15.998983405829495
1700	4.848664267661847	16.993726939292575
1800	3.270974350003165	17.98846264144327
1900	2.2940239639285434	18.98319272716215
2000	1.5524243445636787	19.97791874197276
